pick,team,player_name,college,career_years,career_games,career_mp,career_pts,career_trb,career_ast,career_fg_pct,career_3p_pct,career_ft_pct,pg_mp,pg_pts,pg_trb,pg_ast,win_shares,ws_per_48,bpm,vorp,draft_year
19,ATL,Billy Thompson,Louisville,6,300,6697,2566,1615,514,.505,.154,.674,22.3,8.6,5.4,1.7,9.6,.069,-1.3,1.2,1986
20,HOU,Buck Johnson,Alabama,7,505,11849,4617,1760,856,.488,.113,.738,23.5,9.1,3.5,1.7,20.8,.084,-1.4,1.7,1986
21,WSB,Anthony Jones,UNLV,3,164,1704,594,214,119,.393,.306,.740,10.4,3.6,1.3,0.7,0.8,.022,-2.8,-0.3,1986
22,MIL,Scott Skiles,Michigan State,10,600,16789,6652,1526,3881,.435,.379,.889,28.0,11.1,2.5,6.5,30.4,.087,-0.4,6.7,1986
23,LAL,Ken Barlow,Notre Dame,,,,,,,,,,,,,,,,,,1986
24,POR,Arvydas Sabonis,,7,470,11375,5629,3436,964,.500,.328,.786,24.2,12.0,7.3,2.1,47.3,.200,4.4,18.4,1986
,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
25,DAL,Mark Price,Georgia Tech,12,722,21560,10989,1848,4863,.472,.402,.904,29.9,15.2,2.6,6.7,71.1,.158,3.7,31.1,1986
26,IND,Greg Dreiling,Kansas,10,474,4241,1014,1018,186,.467,.333,.649,8.9,2.1,2.1,0.4,4.0,.045,-5.3,-3.5,1986
27,DET,Dennis Rodman,Southeastern Oklahoma State University,14,911,28839,6683,11954,1600,.521,.231,.584,31.7,7.3,13.1,1.8,89.8,.150,0.9,21.0,1986
28,CHI,Larry Krystkowiak,Montana,9,420,9097,3425,2051,513,.457,.139,.795,21.7,8.2,4.9,1.2,15.6,.082,-2.7,-1.6,1986
29,CLE,Johnny Newman,Richmond,16,1159,28435,12740,2536,1688,.461,.336,.810,24.5,11.0,2.2,1.5,50.3,.085,-1.6,2.9,1986
30,SEA,Nate McMillan,NC State,12,796,20462,4733,3222,4893,.443,.343,.650,25.7,5.9,4.0,6.1,50.2,.118,3.3,27.2,1986
31,PHO,Joe Ward,Georgia,,,,,,,,,,,,,,,,,,1986
32,ATL,Cedric Henderson,Georgia,1,8,16,11,8,0,.500,,1.000,2.0,1.4,1.0,0.0,0.0,-.015,-8.6,0.0,1986
33,SAS,Kevin Duckworth,Eastern Illinois University,11,684,17462,8085,3945,598,.468,.208,.736,25.5,11.8,5.8,0.9,24.7,.068,-3.8,-7.6,1986
34,SAC,Johnny Rogers,"University of California, Irvine",2,69,636,251,104,29,.472,.000,.679,9.2,3.6,1.5,0.4,0.4,.032,-4.8,-0.4,1986
35,DAL,Milt Wagner,Louisville,2,53,496,215,35,76,.422,.296,.875,9.4,4.1,0.7,1.4,0.4,.039,-4.0,-0.2,1986
36,WSB,Steve Mitchell,UAB,,,,,,,,,,,,,,,,,,1986
37,POR,Panagiotis Fasoulas,NC State,,,,,,,,,,,,,,,,,,1986
38,SEA,Lemone Lampley,DePaul,,,,,,,,,,,,,,,,,,1986
39,PHO,Rafael Addison,Syracuse,6,379,5697,2186,780,339,.449,.282,.772,15.0,5.8,2.1,0.9,4.9,.041,-3.8,-2.5,1986
40,ATL,Augusto Binelli,,,,,,,,,,,,,,,,,,,1986
41,DEN,Otis Smith,Jacksonville University,6,375,7720,3951,1416,690,.455,.251,.762,20.6,10.5,3.8,1.8,12.3,.076,0.2,4.2,1986
42,ATL,Ron Kellogg,Kansas,,,,,,,,,,,,,,,,,,1986
43,HOU,Dave Feitl,Texas-El Paso,5,275,3001,1192,815,125,.433,.000,.751,10.9,4.3,3.0,0.5,1.4,.022,-5.8,-2.9,1986
44,PHI,David Wingate,Georgetown,15,740,13243,4166,1420,1376,.445,.272,.738,17.9,5.6,1.9,1.9,11.7,.042,-2.4,-1.2,1986
45,MIL,Keith Smith,Loyola Marymount,1,42,461,138,32,43,.380,.333,.750,11.0,3.3,0.8,1.0,0.0,-.003,-5.5,-0.4,1986
46,PHO,Jeff Hornacek,Iowa State,14,1077,33964,15659,3646,5281,.496,.403,.877,31.5,14.5,3.4,4.9,108.9,.154,2.9,42.1,1986
47,NYK,Michael Jackson,Georgetown,3,89,888,188,70,198,.369,.273,.675,10.0,2.1,0.8,2.2,-0.2,-.011,-4.8,-0.6,1986
,,Round 3,Round 3,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
48,SAS,Forrest McKenzie,Loyola Marymount,1,6,42,17,7,1,.250,.500,1.000,7.0,2.8,1.2,0.2,-0.2,-.223,-16.8,-0.2,1986
49,POR,Juden Smith,Texas-El Paso,,,,,,,,,,,,,,,,,,1986
50,CLE,Kevin Henderson,Cal State Fullerton,2,22,235,65,24,34,.393,.000,.607,10.7,3.0,1.1,1.5,-0.2,-.038,-6.4,-0.3,1986
51,GSW,Mike Williams,Bradley,1,21,102,15,23,2,.333,.000,.500,4.9,0.7,1.1,0.1,0.0,.012,-7.4,-0.1,1986
52,CHI,Ricky Wilson,George Mason,1,24,420,125,27,69,.391,.385,.725,17.5,5.2,1.1,2.9,0.3,.032,-2.6,-0.1,1986
53,SEA,Tod Murphy,"University of California, Irvine",5,191,4071,1049,941,183,.454,.290,.679,21.3,5.5,4.9,1.0,8.0,.095,-1.5,0.6,1986
54,LAC,Dwayne Polee,Pepperdine,1,1,6,2,0,0,.250,.000,,6.0,2.0,0.0,0.0,0.0,-.397,-22.3,0.0,1986
55,PHO,Kenny Gattison,Old Dominion,9,494,9927,3923,2327,444,.520,.083,.649,20.1,7.9,4.7,0.9,16.9,.082,-2.4,-1.1,1986
56,PHI,Keith Colbert,Virginia Tech,,,,,,,,,,,,,,,,,,1986
57,SAC,Bruce Douglas,Illinois,1,8,98,14,14,17,.292,.000,.000,12.3,1.8,1.8,2.1,-0.2,-.082,-3.0,0.0,1986
58,WSB,Dave Henderson,Duke,1,22,351,126,35,34,.405,.000,.681,16.0,5.7,1.6,1.5,-0.4,-.058,-7.1,-0.4,1986
59,GSW,Wendell Alexis,Syracuse,,,,,,,,,,,,,,,,,,1986
60,POR,Dražen Petrović,,4,290,7669,4461,669,701,.506,.437,.841,26.4,15.4,2.3,2.4,21.5,.134,0.8,5.4,1986
61,UTA,John Shasky,Minnesota,3,136,1505,517,379,34,.466,.000,.655,11.1,3.8,2.8,0.3,2.5,.079,-3.4,-0.5,1986
62,DAL,Anthony Welch,Illinois,,,,,,,,,,,,,,,,,,1986
63,UTA,Bill Breeding,Rocky Mountain College,,,,,,,,,,,,,,,,,,1986
64,DEN,Don Redden,LSU,,,,,,,,,,,,,,,,,,1986
65,ATL,Dave Hoppen,Nebraska,6,169,2401,837,647,100,.518,.200,.751,14.2,5.0,3.8,0.6,3.6,.072,-4.2,-1.4,1986
66,HOU,Anthony Bowie,Oklahoma,8,461,8349,2945,1021,840,.475,.318,.824,18.1,6.4,2.2,1.8,12.3,.070,-1.3,1.4,1986
67,PHI,Ron Rowan,St. John's,1,7,16,12,1,1,.444,1.000,.750,2.3,1.7,0.1,0.1,0.0,.084,8.5,0.0,1986
68,MIL,Baskerville Holmes,Memphis,,,,,,,,,,,,,,,,,,1986
69,LAL,Andre Turner,Memphis,6,170,2523,767,263,535,.422,.237,.764,14.8,4.5,1.5,3.1,1.8,.034,-2.3,-0.2,1986
70,ATL,Jim Les,Bradley,7,321,4222,1210,396,930,.397,.396,.818,13.2,3.8,1.2,2.9,8.1,.092,-0.7,1.4,1986
,,Round 4,Round 4,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
71,NYK,Calvin Thompson,Kansas,,,,,,,,,,,,,,,,,,1986
72,IND,Derrick Taylor,LSU,,,,,,,,,,,,,,,,,,1986
73,CLE,Warren Martin,UNC,,,,,,,,,,,,,,,,,,1986
74,CHI,Scott Meents,Illinois,2,39,201,72,40,15,.361,1.000,.704,5.2,1.8,1.0,0.4,0.1,.017,-1.6,0.0,1986
75,GSW,Dan Bingenheimer,Missouri,,,,,,,,,,,,,,,,,,1986
76,SEA,Michael Graham,Georgetown,,,,,,,,,,,,,,,,,,1986
77,PHO,Grant Gondrezick,Pepperdine,2,91,1080,454,146,115,.438,.250,.687,11.9,5.0,1.6,1.3,0.8,.036,-3.0,-0.3,1986
78,LAC,John Brownlee,Texas,,,,,,,,,,,,,,,,,,1986
79,SAS,Carlos Briggs,Baylor,,,,,,,,,,,,,,,,,,1986
80,SAC,Alvin Franklin,Houston,,,,,,,,,,,,,,,,,,1986
81,NJN,Steve Hale,UNC,,,,,,,,,,,,,,,,,,1986
82,WSB,Barry Mungar,St. Bonaventure,,,,,,,,,,,,,,,,,,1986
83,POR,David Shaffer,Florida State,,,,,,,,,,,,,,,,,,1986
84,UTA,Marty Embry,DePaul,,,,,,,,,,,,,,,,,,1986
85,DAL,Myron Jackson,Little Rock,1,8,22,11,3,6,.222,,.875,2.8,1.4,0.4,0.8,0.0,-.104,-5.6,0.0,1986
86,DET,Chauncey Robinson,Mississippi State,,,,,,,,,,,,,,,,,,1986
87,DEN,Anthony Watson,San Diego State,,,,,,,,,,,,,,,,,,1986
88,ATL,Efrem Winters,Illinois,,,,,,,,,,,,,,,,,,1986
89,HOU,Conner Henry,UC Santa Barbara,2,93,756,305,83,102,.378,.379,.757,8.1,3.3,0.9,1.1,0.1,.007,-3.8,-0.3,1986
90,PHI,Wes Stallings,East Tennessee State University,,,,,,,,,,,,,,,,,,1986
91,SAC,Bob Beecher,Virginia Tech,,,,,,,,,,,,,,,,,,1986
92,LAL,Dale Blaney,West Virginia,,,,,,,,,,,,,,,,,,1986
93,BOS,Tony Benford,Texas Tech,,,,,,,,,,,,,,,,,,1986
,,Round 5,Round 5,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
94,NYK,Jerome Mincey,UAB,,,,,,,,,,,,,,,,,,1986
95,IND,Richard Rellford,Michigan,1,4,42,16,7,1,.625,,.750,10.5,4.0,1.8,0.3,0.0,.048,-1.8,0.0,1986
96,CLE,Ben Davis,Gardner-Webb University,,,,,,,,,,,,,,,,,,1986
97,GSW,Clinton Smith,Cleveland State University,2,46,386,134,60,49,.430,.000,.714,8.4,2.9,1.3,1.1,0.3,.035,-2.4,0.0,1986
98,CHI,Jimmy Gilbert,Texas A&M,,,,,,,,,,,,,,,,,,1986
99,SEA,Dominic Pressley,Boston College,1,13,124,23,15,26,.290,.000,.556,9.5,1.8,1.2,2.0,-0.2,-.069,-6.7,-0.1,1986
100,LAC,Steffond Johnson,San Diego State,1,29,234,74,43,5,.422,.000,.526,8.1,2.6,1.5,0.2,-0.2,-.037,-9.8,-0.5,1986
101,PHO,Greg Spurling,Carson-Newman College,,,,,,,,,,,,,,,,,,1986
102,SAS,Earl Kelley,UConn,,,,,,,,,,,,,,,,,,1986
103,SAC,Keith Morrison,Washington State,,,,,,,,,,,,,,,,,,1986
104,WSB,Paul Fortier,Washington,,,,,,,,,,,,,,,,,,1986
105,NJN,Archie Johnson,UAB,,,,,,,,,,,,,,,,,,1986
106,POR,Jerry Adams,Oregon,,,,,,,,,,,,,,,,,,1986
107,UTA,Kerry Boagni,Cal State Fullerton,,,,,,,,,,,,,,,,,,1986
108,DAL,Jay Bilas,Duke,,,,,,,,,,,,,,,,,,1986
109,DET,Clarence Hanley,Old Dominion,,,,,,,,,,,,,,,,,,1986
110,DEN,Jon Collins,Eastern Illinois University,,,,,,,,,,,,,,,,,,1986
111,ATL,Nicky Jones,VCU,,,,,,,,,,,,,,,,,,1986
112,HOU,Andre Banks,Iowa,,,,,,,,,,,,,,,,,,1986
113,PHI,Kevin Holmes,DePaul,,,,,,,,,,,,,,,,,,1986
114,MIL,Bobby Deaton,Southwstern University,,,,,,,,,,,,,,,,,,1986
115,LAL,Roger Harden,Kentucky,,,,,,,,,,,,,,,,,,1986
116,BOS,Dave Colbert,Dayton,,,,,,,,,,,,,,,,,,1986
,,Round 6,Round 6,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
117,NYK,Butch Wade,Michigan,,,,,,,,,,,,,,,,,,1986
118,IND,Jeff Hall,Louisville,,,,,,,,,,,,,,,,,,1986
119,CLE,Gilbert Wilburn,New Mexico State,,,,,,,,,,,,,,,,,,1986
120,CHI,Pete Myers,Little Rock,9,377,6039,1804,671,807,.421,.219,.668,16.0,4.8,1.8,2.1,5.8,.046,-2.5,-0.8,1986
121,GSW,Bobby Lee Hurt,Alabama,,,,,,,,,,,,,,,,,,1986
122,SEA,Curtis Kitchen,South Florida,1,6,31,9,9,1,.500,.000,.750,5.2,1.5,1.5,0.2,0.1,.217,4.8,0.1,1986
123,PHO,Jim McCaffrey,Holy Cross,,,,,,,,,,,,,,,,,,1986
124,LAC,Tim Kempton,Notre Dame,8,280,3758,1259,795,307,.481,.000,.677,13.4,4.5,2.8,1.1,3.3,.042,-3.8,-1.7,1986
125,SAS,Kevin Lewis,SMU,,,,,,,,,,,,,,,,,,1986
126,SAC,John Flowers,UNLV,,,,,,,,,,,,,,,,,,1986
127,NJN,Troy Webster,George Washington,,,,,,,,,,,,,,,,,,1986
128,WSB,Lorenzo Duncan,Sam Houston State University,,,,,,,,,,,,,,,,,,1986
129,POR,Tony Hampton,Montana State,,,,,,,,,,,,,,,,,,1986
130,UTA,Chuck Everson,Villanova,,,,,,,,,,,,,,,,,,1986
131,DAL,Greg Anderson,Lamar,,,,,,,,,,,,,,,,,,1986
132,DET,Greg Grant,Utah State University,,,,,,,,,,,,,,,,,,1986
133,DEN,Anthony Frederick,Pepperdine,3,147,1640,718,280,135,.439,.273,.699,11.2,4.9,1.9,0.9,0.7,.019,-2.5,-0.2,1986
134,ATL,Alexander Volkov,,2,149,2453,1019,384,333,.455,.333,.613,16.5,6.8,2.6,2.2,4.5,.087,0.5,1.5,1986
135,HOU,Robert Worthy,Chancellor University,,,,,,,,,,,,,,,,,,1986
136,PHI,Andre McCloud,Seton Hall,,,,,,,,,,,,,,,,,,1986
137,MIL,John Kimbrell,Lipscomb,,,,,,,,,,,,,,,,,,1986
138,LAL,Walter Downing,Marquette,,,,,,,,,,,,,,,,,,1986
139,BOS,Greg Wendt,Detroit Mercy,,,,,,,,,,,,,,,,,,1986
,,Round 7,Round 7,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1986
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1986
140,NYK,Duane Kendall,South Carolina,,,,,,,,,,,,,,,,,,1986
141,IND,Steve Woodside,Oregon State,,,,,,,,,,,,,,,,,,1986
142,CLE,Ralph Dalton,Georgetown,,,,,,,,,,,,,,,,,,1986
143,GSW,Steve Kenilvort,Santa Clara,,,,,,,,,,,,,,,,,,1986
144,CHI,Robert Henderson,Michigan,,,,,,,,,,,,,,,,,,1986
145,SEA,Glen McCants,Clemson,,,,,,,,,,,,,,,,,,1986
146,LAC,Johnny Brown,New Mexico,,,,,,,,,,,,,,,,,,1986
147,PHO,Damon Goodwin,Dayton,,,,,,,,,,,,,,,,,,1986
148,SAS,Michael Anderson,University of Texas Rio Grande Valley,,,,,,,,,,,,,,,,,,1986
149,SAC,Ron Rankin,SE Missouri State,,,,,,,,,,,,,,,,,,1986
150,WSB,Joe Price,Notre Dame,,,,,,,,,,,,,,,,,,1986
151,NJN,Jim Dolan,Notre Dame,,,,,,,,,,,,,,,,,,1986
152,POR,Randy Schiff,Linfield College,,,,,,,,,,,,,,,,,,1986
153,UTA,Mark Mitchell,University of Hartford,,,,,,,,,,,,,,,,,,1986
154,DAL,Kim Cooksey,Middle Tennessee,,,,,,,,,,,,,,,,,,1986
155,DET,Larry Polec,Michigan State,,,,,,,,,,,,,,,,,,1986
156,DEN,Mike Marshall,McNeese State University,,,,,,,,,,,,,,,,,,1986
157,ATL,Valeri Tikhonenko,,,,,,,,,,,,,,,,,,,1986
158,HOU,Rick Olson,Wisconsin,,,,,,,,,,,,,,,,,,1986
159,PHI,Dan Palombizio,Ball State University,,,,,,,,,,,,,,,,,,1986
160,MIL,Jeff Strong,Missouri,,,,,,,,,,,,,,,,,,1986
161,LAL,Mark Coleman,Mississippi Valley State University,,,,,,,,,,,,,,,,,,1986
162,BOS,Tom Ivey,Boston University,,,,,,,,,,,,,,,,,,1986
1,SAS,David Robinson,United States Naval Academy,14,987,34271,20790,10497,2441,.518,.250,.736,34.7,21.1,10.6,2.5,178.7,.250,7.5,81.9,1987
2,PHO,Armen Gilliam,UNLV,13,929,26421,12700,6401,1088,.489,.000,.776,28.4,13.7,6.9,1.2,58.1,.106,-0.7,8.8,1987
3,NJN,Dennis Hopson,Ohio State,5,334,7509,3633,939,539,.431,.271,.765,22.5,10.9,2.8,1.6,7.1,.046,-1.7,0.7,1987
4,LAC,Reggie Williams,Georgetown,10,599,16013,7508,2393,1492,.437,.298,.784,26.7,12.5,4.0,2.5,26.0,.078,0.2,9.0,1987
5,SEA,Scottie Pippen,University of Central Arkansas,17,1178,41069,18940,7494,6135,.473,.326,.704,34.9,16.1,6.4,5.2,125.1,.146,4.1,63.2,1987
6,SAC,Kenny Smith,UNC,10,737,22213,9397,1454,4073,.480,.399,.829,30.1,12.8,2.0,5.5,46.8,.101,0.0,11.2,1987
7,CLE,Kevin Johnson,California,12,735,25061,13127,2404,6711,.493,.305,.841,34.1,17.9,3.3,9.1,92.8,.178,3.9,37.3,1987
8,CHI,Olden Polynice,Virginia,15,1058,24884,8265,7110,744,.505,.192,.535,23.5,7.8,6.7,0.7,46.8,.090,-2.3,-1.8,1987
9,SEA,Derrick McKey,Alabama,15,937,27229,10266,4387,2254,.486,.316,.779,29.1,11.0,4.7,2.4,61.8,.109,1.0,20.4,1987
10,CHI,Horace Grant,Clemson,17,1165,38621,12996,9443,2575,.509,.063,.692,33.2,11.2,8.1,2.2,118.2,.147,1.4,33.0,1987
11,IND,Reggie Miller,UCLA,18,1389,47619,25279,4182,4141,.471,.395,.888,34.3,18.2,3.0,3.0,174.4,.176,3.5,66.1,1987
12,WSB,Muggsy Bogues,Wake Forest,14,889,25429,6858,2318,6726,.458,.278,.827,28.6,7.7,2.6,7.6,54.0,.102,0.8,17.9,1987
13,LAC,Joe Wolf,UNC,11,592,9636,2485,1933,596,.423,.164,.770,16.3,4.2,3.3,1.0,3.5,.017,-4.8,-6.7,1987
14,GSW,Tellis Frank,Western Kentucky,5,264,4703,1710,1022,276,.439,.000,.741,17.8,6.5,3.9,1.0,4.0,.041,-4.1,-2.5,1987
15,UTA,José Ortiz,Oregon State,2,64,391,183,73,18,.443,.333,.596,6.1,2.9,1.1,0.3,0.0,.002,-6.4,-0.4,1987
16,PHI,Chris Welp,Washington,3,109,1173,359,265,43,.446,.000,.681,10.8,3.3,2.4,0.4,1.0,.042,-5.0,-0.9,1987
17,POR,Ronnie Murphy,Jacksonville University,1,18,89,36,11,6,.286,.250,.636,4.9,2.0,0.6,0.3,-0.2,-.130,-11.5,-0.2,1987
18,NYK,Mark Jackson,St. John's,17,1296,39121,12489,4963,10334,.447,.332,.770,30.2,9.6,3.8,8.0,91.8,.113,1.8,37.5,1987
19,LAC,Ken Norman,Illinois,10,646,18992,8717,3949,1355,.486,.312,.567,29.4,13.5,6.1,2.1,27.1,.069,-1.0,4.9,1987
20,DAL,Jim Farmer,Alabama,5,136,1454,715,186,111,.428,.282,.730,10.7,5.3,1.4,0.8,0.7,.024,-4.3,-0.8,1987
21,ATL,Dallas Comegys,DePaul,2,142,2241,856,452,95,.457,.000,.682,15.8,6.0,3.2,0.7,1.1,.024,-3.6,-0.9,1987
22,BOS,Reggie Lewis,Northeastern University,6,450,14676,7902,1938,1153,.488,.200,.824,32.6,17.6,4.3,2.6,38.9,.127,1.4,12.4,1987
23,SAS,Greg Anderson,Houston,10,680,14040,4953,4246,385,.492,.087,.557,20.6,7.3,6.2,0.6,18.7,.064,-3.0,-3.7,1987
,,Round 2,Round 2,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced,1987
Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP,1987
24,DET,Freddie Banks,UNLV,,,,,,,,,,,,,,,,,,1987
